<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Lotus Gold Com.ETF,20241208, 349444.00, 350600.00, 348900.00, 349870.00,2996483811895.00, 8564551,10519,D,346449.00,349630.00
Lotus Gold Com.ETF,20241207, 348100.00, 348100.00, 345000.00, 346449.00,3388541079642.00, 9780786,11493,D,348323.00,346849.00
Lotus Gold Com.ETF,20241204, 348000.00, 349200.00, 346720.00, 348323.00,3265045074263.00, 9373603,11787,D,346395.00,349118.00
Lotus Gold Com.ETF,20241203, 347500.00, 347980.00, 345399.00, 346395.00,3956496195460.00, 11421910,13671,D,344561.00,345939.00
Lotus Gold Com.ETF,20241202, 343988.00, 345000.00, 343450.00, 344561.00,3324779234052.00, 9649318,12218,D,342934.00,344606.00
Lotus Gold Com.ETF,20241201, 343333.00, 345900.00, 341700.00, 342934.00,2418905156799.00, 7053553,8279,D,347202.00,343126.00
Lotus Gold Com.ETF,20241130, 347331.00, 349000.00, 345611.00, 347202.00,4380134818857.00, 12615523,14868,D,339509.00,347299.00
Lotus Gold Com.ETF,20241127, 340650.00, 341750.00, 338000.00, 339509.00,2238527546991.00, 6593423,11223,D,337386.00,338707.00
Lotus Gold Com.ETF,20241126, 335757.00, 340210.00, 332500.00, 337386.00,3720287902863.00, 11026801,13767,D,337637.00,337600.00
Lotus Gold Com.ETF,20241125, 335555.00, 341920.00, 333650.00, 337637.00,4119355592552.00, 12200527,17894,D,344602.00,341510.00
Lotus Gold Com.ETF,20241124, 350700.00, 350700.00, 340998.00, 344602.00,6141840435415.00, 17822979,25514,D,349593.00,341260.00
Lotus Gold Com.ETF,20241123, 349520.00, 351579.00, 347300.00, 349593.00,6073818661849.00, 17373962,18799,D,341499.00,351302.00
Lotus Gold Com.ETF,20241120, 344000.00, 344400.00, 338201.00, 341499.00,5555960422937.00, 16269331,18436,D,334675.00,338381.00
Lotus Gold Com.ETF,20241119, 331998.00, 338171.00, 331000.00, 334675.00,4018600037390.00, 12007482,13818,D,327644.00,337700.00
Lotus Gold Com.ETF,20241118, 327505.00, 329200.00, 326500.00, 327644.00,1684664223992.00, 5141757,8243,D,326048.00,328999.00
Lotus Gold Com.ETF,20241117, 326500.00, 327000.00, 325311.00, 326048.00,1256683245825.00, 3854283,6828,D,325587.00,326260.00
Lotus Gold Com.ETF,20241116, 328990.00, 328990.00, 323000.00, 325587.00,2970911477258.00, 9124771,12504,D,329398.00,325311.00
Lotus Gold Com.ETF,20241113, 331020.00, 331910.00, 328050.00, 329398.00,3625438210746.00, 11006249,12153,D,322316.00,330017.00
Lotus Gold Com.ETF,20241112, 317001.00, 324050.00, 317001.00, 322316.00,4129648544846.00, 12812418,14832,D,317746.00,323310.00
Lotus Gold Com.ETF,20241111, 320000.00, 320000.00, 315988.00, 317746.00,4541517789319.00, 14292928,22403,D,330768.00,316555.00
Lotus Gold Com.ETF,20241110, 332113.00, 335003.00, 326791.00, 330768.00,5247596244408.00, 15864897,21727,D,340898.00,328000.00
Lotus Gold Com.ETF,20241109, 340005.00, 342888.00, 338220.00, 340898.00,3621585869602.00, 10623666,18228,D,349495.00,338900.00
Lotus Gold Com.ETF,20241106, 352500.00, 352880.00, 347500.00, 349495.00,5779894383483.00, 16537865,16717,D,341441.00,348950.00
Lotus Gold Com.ETF,20241105, 342000.00, 342498.00, 339700.00, 341441.00,2529990891807.00, 7409745,9803,D,345532.00,342331.00
Lotus Gold Com.ETF,20241104, 344900.00, 349466.00, 340787.00, 345532.00,5625133584026.00, 16279647,18759,D,353573.00,342771.00
Lotus Gold Com.ETF,20241103, 354001.00, 356200.00, 352222.00, 353573.00,5743975882788.00, 16245529,19275,D,345841.00,352900.00
Lotus Gold Com.ETF,20241102, 344001.00, 348602.00, 339011.00, 345841.00,5153587069471.00, 14901612,17717,D,350611.00,348228.00
Lotus Gold Com.ETF,20241030, 351350.00, 353400.00, 345678.00, 350611.00,6959439415977.00, 19849486,23199,D,348579.00,347313.00
Lotus Gold Com.ETF,20241029, 350100.00, 351800.00, 345200.00, 348579.00,6243049032100.00, 17909984,23114,D,337759.00,346100.00
Lotus Gold Com.ETF,20241028, 335368.00, 340000.00, 333020.00, 337759.00,4246916362843.00, 12573819,16401,D,327950.00,339140.00
Lotus Gold Com.ETF,20241027, 326000.00, 329500.00, 325285.00, 327950.00,5188460951852.00, 15820905,18673,D,321953.00,329003.00
Lotus Gold Com.ETF,20241026, 321333.00, 331702.00, 317000.00, 321953.00,9760993799969.00, 30318094,39428,D,351294.00,319800.00
Lotus Gold Com.ETF,20241023, 350750.00, 354804.00, 349501.00, 351294.00,5530822769315.00, 15744142,20009,D,343244.00,353945.00
Lotus Gold Com.ETF,20241022, 342012.00, 346200.00, 339991.00, 343244.00,6431421568608.00, 18737160,19471,D,341150.00,344095.00
Lotus Gold Com.ETF,20241021, 340000.00, 343995.00, 337990.00, 341150.00,6032350974340.00, 17682421,21195,D,341026.00,339290.00
Lotus Gold Com.ETF,20241020, 345000.00, 345000.00, 336395.00, 341026.00,7161939033598.00, 21001121,26830,D,335053.00,337000.00
Lotus Gold Com.ETF,20241019, 335992.00, 336700.00, 332956.00, 335053.00,6097560501119.00, 18198782,19596,D,327055.00,335449.00
Lotus Gold Com.ETF,20241016, 326501.00, 327998.00, 326106.00, 327055.00,3771132429315.00, 11530587,12782,D,321824.00,326500.00
